Year,Swift,Fraser,Horsey,Nevin,Holmes,McKale,Twin,Goat,Morkill,Walker,Torpy,Dome,Slim,Bowron,McGregor,Willow,Salmon (PG),Stuart,Nechako,Stellako,Endako,Chilako,Blackwater,Cottonwood,Quesnel,Cariboo,Horsefly,Chilko,Chilcotin Upper,Chilcotin Lower,Elkin,Taseko,Bridge,Portage,Seton,Mahood,Clearwater,Finn,Raft,Barriere,Louis,North Thompson,Bessette,Middle Shuswap,Lower Shuswap,Eagle,Salmon (ST),Adams,Little River,South Thompson,Lower Thompson,Deadman,Bonaparte,Coldwater,Spius,Nicola,Nahatlatch,Maria Slough,Birkenhead,Harrison,Chilliwack,Pitt,Blue,Lemieux,Upper Adams,Scotch,Seymour,Stave,Baker ,Big Silver,Chilliwack Su,Douglas,Holliday,Kazchek,Kuzkwa,Narcosli,Naver,Pinchi,Sloquet,Small,Tipella,Wap,McKinley,Chehalis,   Total
2013.00,442.00,1564.00,90.00,73.00,1187.00,28.00,81.00,139.00,335.00,326.00,1156.00,265.00,2129.00,4252.00,1321.00,647.00,345.00,2483.00,1315.00,0.00,173.00,110.00,514.00,613.00,2777.00,617.00,303.00,4699.00,245.00,1405.00,333.00,192.00,164.00,38.00,2.00,43.00,2423.00,20.00,153.00,131.00,153.00,850.00,218.00,2821.00,33511.00,1056.00,753.00,7196.00,19329.00,73380.00,17678.00,300.00,2977.00,293.00,516.00,4053.00,37.00,1089.00,277.00,43572.00,57571.00,126.00,170.00,32.00,178.00,0.00,35.00,9.00,167.00,81.00,2167.00,7.00,35.00,17.00,98.00,134.00,171.00,22.00,29.00,0.00,0.00,0.00,14.00,1362.00,305617.00
2014.00,958.00,5040.00,154.00,168.00,2324.00,27.00,112.00,274.00,540.00,339.00,1343.00,569.00,2500.00,6271.00,2040.00,1710.00,1936.00,4598.00,6309.00,18.00,144.00,133.00,1214.00,1023.00,2473.00,302.00,227.00,15686.00,418.00,10536.00,628.00,364.00,1477.00,89.00,27.00,73.00,3422.00,82.00,241.00,159.00,362.00,516.00,114.00,2828.00,54508.00,1075.00,1037.00,6958.00,4712.00,41306.00,6179.00,2939.00,16254.00,1447.00,1402.00,8949.00,2.00,404.00,474.00,46333.00,67079.00,76.00,105.00,63.00,126.00,2.00,29.00,419.00,330.00,41.00,1366.00,13.00,32.00,0.00,93.00,265.00,338.00,10.00,54.00,17.00,0.00,11.00,50.00,1553.00,345819.00
2015.00,507.00,1580.00,61.00,82.00,993.00,32.00,24.00,133.00,960.00,53.00,1230.00,391.00,2931.00,7763.00,1127.00,951.00,630.00,5636.00,8933.00,6.00,130.00,550.00,701.00,795.00,4393.00,572.00,353.00,11771.00,284.00,4447.00,1122.00,829.00,562.00,93.00,64.00,116.00,5967.00,64.00,145.00,164.00,108.00,5095.00,157.00,3378.00,44576.00,940.00,204.00,14392.00,29626.00,115274.00,16242.00,532.00,6773.00,180.00,453.00,5839.00,6.00,1301.00,696.00,103838.00,39799.00,180.00,112.00,5.00,248.00,0.00,56.00,51.00,253.00,98.00,1676.00,17.00,6.00,0.00,129.00,203.00,259.00,5.00,72.00,22.00,0.00,5.00,0.00,351.00,460302.00
2016.00,307.00,3402.00,80.00,60.00,770.00,9.00,28.00,76.00,428.00,150.00,839.00,236.00,1588.00,4015.00,906.00,445.00,396.00,1996.00,3576.00,3.00,56.00,69.00,352.00,442.00,1073.00,165.00,251.00,4708.00,140.00,1387.00,233.00,383.00,314.00,18.00,29.00,2.00,802.00,48.00,40.00,73.00,196.00,382.00,7.00,664.00,7770.00,311.00,103.00,3410.00,21100.00,67932.00,6111.00,869.00,6447.00,693.00,445.00,2703.00,18.00,108.00,305.00,42369.00,45448.00,50.00,160.00,9.00,130.00,0.00,10.00,321.00,151.00,50.00,1335.00,0.00,26.00,0.00,43.00,121.00,154.00,4.00,34.00,15.00,0.00,56.00,12.00,1469.00,241436.00
2017.00,200.00,1255.00,25.00,78.00,494.00,7.00,64.00,48.00,266.00,191.00,677.00,149.00,813.00,2161.00,542.00,339.00,251.00,1302.00,553.00,2.00,35.00,8.00,219.00,187.00,606.00,156.00,77.00,4075.00,114.00,703.00,53.00,584.00,452.00,23.00,9.00,2.00,1597.00,23.00,32.00,12.00,32.00,428.00,19.00,1003.00,16376.00,1036.00,251.00,5066.00,25713.00,52106.00,12649.00,509.00,3564.00,193.00,180.00,2222.00,9.00,76.00,405.00,30631.00,31778.00,75.00,83.00,5.00,129.00,0.00,30.00,219.00,93.00,111.00,1046.00,31.00,2.00,0.00,38.00,75.00,96.00,10.00,61.00,0.00,0.00,2.00,0.00,413.00,205149.00
2018.00,196.00,1614.00,34.00,33.00,900.00,0.00,74.00,78.00,346.00,157.00,915.00,185.00,900.00,2691.00,618.00,301.00,284.00,1211.00,1906.00,2.00,82.00,27.00,401.00,258.00,705.00,250.00,29.00,2690.00,86.00,1445.00,110.00,1258.00,65.00,46.00,0.00,0.00,586.00,11.00,107.00,72.00,86.00,191.00,14.00,2510.00,22360.00,839.00,243.00,4574.00,7569.00,25959.00,12083.00,406.00,8.00,288.00,204.00,2682.00,13.00,0.00,186.00,47972.00,31706.00,178.00,63.00,6.00,119.00,0.00,80.00,291.00,116.00,21.00,1041.00,0.00,21.00,6.00,48.00,93.00,118.00,2.00,10.00,2.00,0.00,13.00,0.00,343.00,183137.00
2019.00,2.00,1141.00,0.00,0.00,155.00,27.00,48.00,11.00,627.00,0.00,44.00,343.00,1944.00,3660.00,32.00,1895.00,568.00,2461.00,3130.00,0.00,207.00,92.00,319.00,456.00,530.00,71.00,178.00,5339.00,77.00,2900.00,306.00,540.00,116.00,235.00,19.00,29.00,872.00,162.00,112.00,94.00,91.00,232.00,7.00,2266.00,35284.00,823.00,430.00,10297.00,40099.00,114155.00,3963.00,463.00,990.00,335.00,300.00,4128.00,86.00,388.00,183.00,46225.00,82494.00,18.00,298.00,11.00,85.00,2.00,36.00,0.00,27.00,33.00,1757.00,0.00,28.00,0.00,24.00,93.00,78.00,4.00,13.00,32.00,0.00,0.00,0.00,599.00,375119.00
2020.00,271.00,4450.00,18.00,19.00,534.00,38.00,46.00,80.00,598.00,78.00,608.00,334.00,1822.00,4558.00,1566.00,1615.00,592.00,3029.00,1973.00,0.00,137.00,16.00,646.00,423.00,409.00,295.00,227.00,6594.00,54.00,4331.00,512.00,1432.00,56.00,42.00,30.00,19.00,4012.00,124.00,132.00,355.00,107.00,1456.00,131.00,2351.00,31750.00,781.00,400.00,6469.00,27891.00,113062.00,22309.00,446.00,3609.00,381.00,274.00,4308.00,73.00,52.00,221.00,43695.00,45246.00,47.00,406.00,2.00,0.00,2.00,12.00,0.00,115.00,69.00,2951.00,36.00,27.00,0.00,28.00,48.00,330.00,10.00,23.00,33.00,0.00,91.00,51.00,1301.00,352669.00
2021.00,186.00,2002.00,29.00,75.00,192.00,15.00,2.00,151.00,526.00,124.00,926.00,295.00,2328.00,4460.00,1734.00,985.00,516.00,2731.00,2886.00,2.00,76.00,38.00,887.00,397.00,1859.00,175.00,268.00,5725.00,196.00,2561.00,124.00,219.00,355.00,28.00,30.00,38.00,4138.00,34.00,111.00,30.00,139.00,1937.00,0.00,2199.00,36481.00,2870.00,474.00,7877.00,45768.00,116757.00,25312.00,637.00,1347.00,152.00,234.00,4294.00,31.00,37.00,139.00,36956.00,66914.00,88.00,265.00,11.00,0.00,5.00,151.00,375.00,14.00,64.00,2866.00,9.00,9.00,2.00,54.00,5.00,29.00,9.00,37.00,3.00,0.00,3.00,0.00,796.00,392804.00
2022.00,404.00,2830.00,2.00,133.00,811.00,43.00,58.00,113.00,618.00,215.00,1055.00,346.00,2302.00,6503.00,1783.00,813.00,611.00,4947.00,4292.00,2.00,154.00,24.00,519.00,538.00,1954.00,761.00,62.00,14166.00,271.00,4253.00,419.00,394.00,558.00,92.00,0.00,19.00,6074.00,117.00,154.00,326.00,70.00,3463.00,27.00,1969.00,40347.00,782.00,562.00,3817.00,28821.00,62238.00,17019.00,1489.00,399.00,415.00,556.00,7744.00,88.00,44.00,280.00,83109.00,107766.00,11.00,279.00,24.00,33.00,0.00,49.00,633.00,14.00,13.00,3870.00,16.00,26.00,0.00,30.00,75.00,89.00,0.00,65.00,13.00,0.00,0.00,5.00,683.00,425669.00
